experience_id,experience_name,city,combined_id,sub_category_id,status
12096,1-Hour Panoramic Vltava River Cruise with Optional Multimedia Guide,Prague,,1060,available
9796,XLine Dubai Marina Zip line,Dubai,,1052,available
14081,"Giza Pyramids, Sphinx, Saqqara, Memphis Tour from Cairo",Cairo,2796,1010,available
15562,Iron Pot Cruise,Hobart,3635,,available
15433,Katla Ice Cave Tour from Reykjavik by Minibus,Reykjavik,,1033,available
3235,The Original Rome Capuchin Crypts and Catacombs Tour,Rome,1171,1007,available
16094,Combo: Ain Dubai + Burj Khalifa Tickets,Dubai,158,1080,available
15332,Istanbul Bosphorus Sunset Cruise with Wine on a Luxury Yacht,Istanbul,,1060,available
2998,Westminster Abbey Tickets,London,1493,1006,available
12086,Oxford & Cambridge Universities,London,3538,1032,available
16008,Miami Jet Ski Rental in Biscayne Bay for 60 Minutes,Miami,,1064,available
3191,Amsterdam Canal Cruise with New York Pizza & Drinks,Amsterdam,3567,1061,available
7955,VIP Breakfast Tour of Vatican Museums and Sistine Chapel,Rome,189,,available
16160,Colosseum with Arena Floor Reserved Entrance Tickets,Rome,,1007,available
14786,Alcudia: 3 Hr Boat trip Caves & Snorkel,Mallorca,,1056,available
15530,Quack'R'Duck Gold Coast Cruise & City Tour,Gold Coast,,1061,available
11536,Hamburg XXL 2h Cruise Tour,Hamburg,,1060,available
16095,"Elbphilharmonie, Warehouse District & City Combo Tour",Hamburg,1416,1010,available
14263,"Skip The Line: Guided Tour of Bran Castle, Peles Castle & Rasnov Fortress",Bucharest,,1010,available
7809,Green Planet Tickets,Dubai,1505,1007,available
13732,Asian Civilisations Museum Tickets,Singapore,3033,1002,available
15263,Athens Combo: 48 Hrs Hop-on-Hop-off Bus and Cape Sounion Sunset Tour,Athens,3286,1011,available
17559,"Tom, Dick and Harry",London,167,1037,available
16866,Venice and Islands: Hop-on Hop-off Boat Trip,Venice,,1011,available
14040,Tandem Paragliding Experience- Tirol,Innsbruck,,1056,available
16640,Blue Cave Tour from Dubrovnik with Hotel Pickup,Dubrovnik,,1061,available
16973,Jungfraujoch - Top of Europe departing from Zurich,Zurich,,1035,available
10141,"Small Group Tour of Colosseum, Roman Forum, and Palatine Hill",Rome,220,1010,available
12730,Playa del Carmen: Dolphin Encounter with Traditional Meals,Cancun,2483,1034,available
9963,Akhnaten,London,167,1038,available
14430,Rome E-Bike Rental & Catacombs Tour,Rome,,1014,available
6705,Park Güell Guided Tour with Skip-the-Line Access,Barcelona,325,1010,available
15877,Ticket Aquarium + Lunch,Genoa,,1007,available
16725,test test Ayush,Paris,254,,available
15518,"Pisa Monumental Complex Ticket - with Leaning Tower, Opera Museum, Baptistry, Synopie, and Cathedral",Pisa,,1007,available
15748,Walking Tour of Figueres and Guided Visit to Salvador's Dalí Museum,Figueres,,1009,available
16655,Dubrovnik: Mljet Island National Park Day Tour with Hotel Transfers,Dubrovnik,,1012,available
17350,COMBO: Wings of Time + SkyHelix Sentosa + Dining at Mount Faber OR Sentosa,Singapore,,1025,available
10769,Loro Parque & Siam Park Skip the Line Ticket,Tenerife,1652,,available
13850,Guadarrama National Park Hike in Madrid with Transfers,Madrid,,1034,available
15791,City Winery: Wine Blending Workshop Tickets,Brisbane,,1028,available
12243,"Prague: Walking Tour of Old Town, Charles Bridge & Prague Castle",Prague,1214,1009,available
12311,Jack The Ripper & Haunted London Tour,London,2632,1009,available
17411,Bali: Dinner Cruise with Transfer Services,Bali,,1060,available
15725,Vienna Panorama Tour,Vienna,,1012,available
14128,The View At The Palm Tickets,Dubai,3166,1007,available
15962,Ain Dubai Tickets,Dubai,3677,1007,available
16724,Test Test Ninad,Paris,3667,1060,available
13226,Skip-The-Line Petronas Twin Towers Admission Ticket,Kuala Lumpur,2581,,available
16339,Accademia Gallery Fast-Track Tickets,Florence,,1007,available
12448,Skip the Line Ticket to Széchenyi Spa with Private Cabin & Massage,Budapest,1152,1074,available
17097,La Pedrera Exclusive Early Access,Barcelona,,1007,available
13897,Parque Warner Madrid Tickets,Madrid,2767,1001,available
14602,Crocosaurus Cove Entry Tickets,Darwin,3077,1003,available
11573,Mount Batur Sunrise Trek with Breakfast,Bali,1759,1010,available
11086,Moco Museum Skip The Line Entrance Tickets & Cruise,Amsterdam,1928,1002,available
9162,TINA: The Tina Turner Musical,London,167,1036,available
14091,Kuala Selangor's Kampung Kuantan Fireflies Park Tour,Kuala Lumpur,2855,1010,available
17016,"Pisa, Siena, San Gimignano & Chianti Guided Day Trip with Wine Tasting",Florence,,1035,available
16654,Best of Montenegro: Full-Day Trip from Dubrovnik,Dubrovnik,,1012,available
10709,"All-Inclusive Blue Mountains Tour With Scenic World, Featherdale Wildlife Park, River Cruise & Transfers",Sydney,1682,1035,available
14014,Langkawi SkyCab Cable Car + 3D Art Langkawi + SkyDome + SkyRex,Langkawi,,1007,available
4238,LEGOLAND® Water Park Tickets,Dubai,378,1005,available
14398,Palermo Walking Tour: The Sovereign & The People,Palermo,2954,1009,available
15053,Santorini Bus Tour To The Famous Blue Dome,Santorini,,1012,available
13426,Entrance Tickets to The Upside Down Museum Amsterdam,Amsterdam,2611,1002,available
15109,The Best of Prague with Lunch and River Cruise,Prague,,1012,available
16920,Just ticket - Accademia Gallery,Florence,534,1007,available
14532,LEGOLAND®  Windsor Resort Tickets,London,3015,1001,available
16281,Dubai Royal Camel Race Tickets,Dubai,,1042,available
16413,Pororo Park Singapore Tickets,Singapore,3112,1001,available
16696,MARINA BAY SKYPARK + SAMPAN BOAT RIDE,Singapore,,1055,available
15417,Rome's Tipsy Tour,Rome,,1012,available
16446,Farm Augustali Tour: Grape Harvest and Brunch in the Lands of Frederik II of Swabia,Rome,,1028,available
15677,Hobart Historic Lunch Cruise,Hobart,,1061,available
13476,Hagia Sophia: Entry with Guided Tour,Istanbul,1876,1007,available
11798,Featherdale Wildlife Park Tickets,Sydney,3585,1003,available
15865,Trampoline Jumping Tickets,Wiener Neustadt,,1055,available
11698,"Fast Track Tickets to Seville Cathedral, Giralda & Salvador",Seville,1456,1007,available
15788,"San Gimignano, Siena, Monteriggioni, Chianti: Guided Day Tour with Lunch & Wine Tasting",Siena,1691,1010,available
15627,"Leonardo da Vinci Pass: Chambord, Clos Lucé & Amboise Tickets",Loire Valley,2624,1080,available
13322,The Clink Prison Museum Tickets,London,2592,1002,available
17570,12 minutes Atlantis Helicopter Tour,Dubai,,1057,available
9594,Guided Tour with Fast Track Access to Alhambra and the Generalife,Granada,1449,1010,available
12222,Genoa and Portofino Full-Day trip,Milan,,1009,available
15479,Cairns Bungy Jumping,Cairns,,1051,available
17396,Boston Ghosts & Gravestones,Boston,,1034,available
12091,Madurodam Miniature Park Tickets,The Hague,2781,1001,available
16158,Barcelona Self-Guided Audio Tour,Barcelona,,1010,available
15089,Hop-on Hop-off: Open Top Tour of Windsor,London,3181,1011,available
14916,DIV-R VR Snorkeling in Cancun,Cancun,,1062,available
13428,VIP Canal Cruise Ticket With Welcome Drink (Champagne/Cocktail),Amsterdam,,1060,available
15090,Tower of London Crown Jewels tickets with St. Paul's Cathedral and Thames River Cruise,London,1516,1010,available
11604,Casa Batlló Entry Tickets - Blue,Barcelona,1748,1007,available
16210,Milan Self Guided Audio Tour,Milan,,1012,available
17428,The Car Man,London,167,1036,available
17163,A Strange Loop,New York,24,1036,available
3241,Rome in a Day: Guided Tour of Vatican Museums & Colosseum with Sistine Chapel,Rome,189,1010,available
6709,Sagrada Familia and Park Güell Combo Tickets,Barcelona,327,1080,available
7968,Vatican VIP: Early Morning or After Hours Tour of Museums & Sistine Chapel,Rome,189,1010,available
14255,72-Hour Rome Hop-On Hop-Off Walking Tour - 2 Guided & 4 Self-Guided Routes,Rome,,1011,available
16595,Ocean Safari Tour,Cairns,,1061,available
6274,Half-Day London to Stonehenge Day Trip With Audio Guide,London,212,1032,available
10218,Tickets for Royal Observatory Greenwich,London,3528,1007,available
16710,Combo: LEGOLAND® Water Park + Dubai Safari Park Tickets,Dubai,2858,1080,available
16926,Bonnie & Clyde,London,167,1036,available
14687,2-Hour Nile River Lunch Cruise,Cairo,2826,1061,available
